Chase Daniel,DET,5,6,0.57,0.708,2,16,0,0,0,5,0,2020
Joshua Dobbs,PIT,3,4,0.252,0.331,2,20,0,0,3,0,0,2020
Derek Carr,LV,3,6,-0.108,-0.093,31,144,3,3,1,37,-36,2020
C.J. Beathard,SF,3,0,0.013,-0.101,5,29,0,0,-1,4,0,2020
Jameis Winston,NO,2,1,0.183,0.087,1,3,0,0,0,2,0,2020
Taysom Hill,NO,2,-28,-0.118,-0.172,87,449,8,7,-8,56,-46,2020
Brian Hoyer,NE,2,3,0.138,0.395,1,8,0,0,0,2,0,2020
Trace McSorley,BAL,-1,-2,-0.142,-0.211,5,17,0,0,-8,8,0,2020
Blaine Gabbert,TB,-1,0,-0.205,-0.105,2,18,0,0,0,-1,0,2020
Jimmy Garoppolo,SF,-2,-5,-0.174,-0.251,7,28,0,1,7,1,-11,2020
Kendall Hinton,DEN,-3,-5,-0.395,-0.624,2,7,0,0,-2,-1,0,2020
Nick Mullens,SF,-3,-3,-0.248,-0.257,4,13,0,0,-6,3,0,2020
Dwayne Haskins,WAS,-4,-14,-0.162,-0.276,13,57,1,1,-4,21,-21,2020
Philip Rivers,IND,-4,-2,-0.621,-0.404,2,6,0,0,-3,-1,0,2020
Mason Rudolph,PIT,-5,-5,-1.139,-1.022,1,1,0,0,0,-5,0,2020
Jared Goff,LA,-6,-22,-0.148,-0.223,34,115,4,2,14,-9,-11,2020
Ben DiNucci,DAL,-7,-13,-0.329,-0.517,6,13,0,1,6,5,-17,2020
Nick Foles,CHI,-7,-2,-0.318,-0.177,5,12,1,0,-3,-4,0,2020
Jarrett Stidham,NE,-7,-7,-0.329,-0.312,5,9,0,0,-2,-5,0,2020
Drew Lock,DEN,-8,11,-0.16,-0.065,36,167,3,4,17,24,-48,2020
Jalen Hurts,PHI,-9,-25,-0.152,-0.202,60,350,3,6,-2,37,-45,2020
Joe Flacco,NYJ,-11,-12,-0.446,-0.491,6,16,0,1,0,5,-16,2020
Deshaun Watson,HOU,-12,7,-0.149,-0.106,80,439,3,4,3,49,-64,2020
Nate Sudfeld,PHI,-13,-14,-1.248,-1.41,2,1,0,1,0,7,-20,2020
Colt McCoy,NYG,-14,-12,-0.712,-0.633,5,16,0,0,-2,-12,0,2020
Tyrod Taylor,LAC,-14,-14,-0.614,-0.588,5,8,0,0,-14,0,0,2020
Brandon Allen,CIN,-14,-12,-0.318,-0.284,11,29,0,0,5,-19,0,2020
P.J. Walker,CAR,-17,-16,-1.216,-1.165,2,1,0,1,-4,0,-13,2020
Matt Ryan,ATL,-21,-9,-0.303,-0.195,20,98,2,2,-5,13,-29,2020
Tom Brady,TB,-22,-24,-0.375,-0.404,13,12,3,3,31,-11,-42,2020
Alex Smith,WAS,-22,-22,-1.338,-1.316,4,5,0,1,0,-7,-16,2020
Geno Smith,SEA,-27,-29,-2.312,-2.519,2,-14,0,1,-8,0,-19,2020
Tyler Huntley,BAL,-28,-23,-0.833,-0.703,7,24,0,0,-28,0,0,2020
Mike Glennon,JAC,-28,-25,-0.853,-0.779,6,17,0,1,3,-31,0,2020
Justin Herbert,LAC,-29,-6,-0.232,-0.144,45,223,5,4,-20,22,-31,2020
Chad Henne,KC,-33,-33,-1.139,-1.116,4,-4,1,2,-5,0,-29,2020
Joe Burrow,CIN,-43,-39,-0.318,-0.303,33,119,3,4,11,-8,-46,2020
Ben Roethlisberger,PIT,-49,-46,-1.122,-1.066,9,14,0,3,-3,2,-48,2020
