Player,Position,Team,Opp.,Pass Cmp.,Pass Att.,Pass Yd.,Pass TD,Int.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
DK Metcalf,WR,SEA,DET,,,,,,,,,,8.2,4.9,66.9,0.39,11.5
Drake London,WR,ATL,NO,,,,,,,,,,8.4,5.4,63.4,0.39,11.4
Mike Evans,WR,TB,PHI,,,,,,,,,,8.7,4.9,62,0.42,11.2
Rhamondre Stevenson,RB,NE,SF,,,,,,13.7,57.4,0.34,0.1,4.1,2.8,15.3,0.09,11.1
Zay Flowers,WR,BAL,BUF,,,,,,0.7,3.7,0.02,,7.4,5.2,56.4,0.37,11
J.K. Dobbins,RB,LAC,KC,,,,,,15.1,65.2,0.32,0.1,2.9,2,13,0.06,10.9
Chris Olave,WR,NO,ATL,,,,,,,,,,7.6,4.8,63.4,0.35,10.8
Brandon Aiyuk,WR,SF,NE,,,,,,,,,0.1,6.3,4.5,62.5,0.41,10.8
Joe Mixon,RB,HOU,JAX,,,,,,13.9,56.4,0.34,,2.5,2,14.7,0.09,10.7
Devin Singletary,RB,NYG,DAL,,,,,,12.8,54.9,0.35,0.1,3,2.2,14.9,0.1,10.6
DJ Moore,WR,CHI,LA,,,,,,0.5,2.5,0.01,,7.9,5,57.8,0.34,10.6
Jerome Ford,RB,CLE,LV,,,,,,11.3,48,0.27,0.1,4,3.1,19.4,0.11,10.4
Jayden Reed,WR,GB,MIN,,,,,,1,6.7,0.05,,6.2,4.2,51.1,0.36,10.3
Jaxon Smith-Njigba,WR,SEA,DET,,,,,,,,,,7.7,5.2,53.7,0.33,10
Terry McLaurin,WR,WAS,ARI,,,,,,,,,,6.6,4.3,56.4,0.35,9.9
Deebo Samuel Sr.,WR,SF,NE,,,,,,1.1,5.4,0.18,,5.1,3.5,49,0.27,9.9
Amari Cooper,WR,CLE,LV,,,,,,,,,,8,4.5,54.2,0.33,9.7
Tyreek Hill,WR,MIA,TEN,,,,,,0.4,2.1,0.01,,6.6,4,52.9,0.32,9.5
George Pickens,WR,PIT,IND,,,,,,0.2,1,0.01,,7,4.1,52.8,0.31,9.4
Rachaad White,RB,TB,PHI,,,,,,10.4,39.4,0.3,0.1,3,2.3,18.2,0.14,9.4
D'Andre Swift,RB,CHI,LA,,,,,,11.4,43.2,0.32,0.1,3.4,2.6,13.2,0.1,9.3
Dallas Goedert,TE,PHI,TB,,,,,,,,,,6.6,4.8,48.3,0.34,9.3
Tee Higgins,WR,CIN,CAR,,,,,,,,,,6,4,52.5,0.33,9.2
Rashid Shaheed,WR,NO,ATL,,,,,,0.6,3.2,0.02,,5.9,3.7,49.5,0.31,9.1
Jameson Williams,WR,DET,SEA,,,,,,0.7,4.2,0.03,,5.2,3.4,48.4,0.33,9.1
Jake Ferguson,TE,DAL,NYG,,,,,,,,,,6.2,4.6,45.1,0.35,8.9
Zamir White,RB,LV,CLE,,,,,,13.7,49.3,0.31,0.1,2.4,1.7,10.8,0.07,8.9
Travis Kelce,TE,KC,LAC,,,,,,,,,,6.1,4.5,44.8,0.36,8.9
Tyler Lockett,WR,SEA,DET,,,,,,,,,,6.2,4.1,48.7,0.33,8.9
Brock Bowers,TE,LV,CLE,,,,,,,,,,6.8,4.5,46.7,0.32,8.8
Christian Kirk,WR,JAX,HOU,,,,,,0.1,0.5,,,6.9,4.3,46.9,0.29,8.6
Jakobi Meyers,WR,LV,CLE,,,,,,0.1,0.6,,,7,4.2,46.7,0.3,8.6
Michael Pittman Jr.,WR,IND,PIT,,,,,,,,,,7.5,4.6,47.7,0.24,8.5
Brian Thomas Jr.,WR,JAX,HOU,,,,,,,,,,6.5,3.7,46.6,0.3,8.3
Khalil Shakir,WR,BUF,BAL,,,,,,0.3,1.4,0.01,,5.2,3.5,45.2,0.3,8.3
Keenan Allen,WR,CHI,LA,,,,,,,,,,6.6,4.5,44.3,0.26,8.2
Rome Odunze,WR,CHI,LA,,,,,,,,,,5.9,3.6,49.6,0.24,8.2
Greg Dortch,WR,ARI,WAS,,,,,,0.2,1.1,0.01,,5,3.7,42.2,0.33,8.2
Jerry Jeudy,WR,CLE,LV,,,,,,0.1,0.5,,,6.3,3.8,45.6,0.27,8.1
George Kittle,TE,SF,NE,,,,,,,,,,4.7,3.6,39.6,0.38,8
Jauan Jennings,WR,SF,NE,,,,,,,,,,5,3.4,43.5,0.31,7.9
Carson Steele,RB,KC,LAC,,,,,,6.3,45.2,0.41,0.1,0.5,0.4,5.7,0.05,7.9
Wan'Dale Robinson,WR,NYG,DAL,,,,,,0.5,3,0.02,,6.9,4.5,38.6,0.21,7.8
Romeo Doubs,WR,GB,MIN,,,,,,0.1,0.5,,,5.7,3.6,41.4,0.31,7.8
Kyle Pitts,TE,ATL,NO,,,,,,,,,,5.7,3.6,39.4,0.34,7.8
Ladd McConkey,WR,LAC,KC,,,,,,,,,,7,3.9,45,0.23,7.8
Darnell Mooney,WR,ATL,NO,,,,,,0.1,0.6,,,5.9,3.5,41.3,0.3,7.7
Braelon Allen,RB,NYJ,DEN,,,,,,8.5,37.1,0.27,0.1,1.9,1.6,11.9,0.09,7.7
Michael Wilson,WR,ARI,WAS,,,,,,,,,,5.1,3.3,41.7,0.31,7.7
Xavier Worthy,WR,KC,LAC,,,,,,0.3,1.8,0.01,,5.2,3.3,38.8,0.32,7.7
Rico Dowdle,RB,DAL,NYG,,,,,,8.9,36.9,0.22,0.1,2.5,1.9,13.4,0.08,7.6
Demarcus Robinson,WR,LA,CHI,,,,,,,,,,5.7,3.5,42,0.27,7.6
Bucky Irving,RB,TB,PHI,,,,,,9.9,42.2,0.22,0.1,2,1.6,11.2,0.06,7.6
Courtland Sutton,WR,DEN,NYJ,,,,,,,,,,6.8,3.6,43.5,0.24,7.6
Dalton Kincaid,TE,BUF,BAL,,,,,,,,,,5.3,3.7,39.4,0.3,7.6
Calvin Ridley,WR,TEN,MIA,,,,,,0.2,0.8,0.01,,6.5,3.6,40.2,0.28,7.6
Chase Brown,RB,CIN,CAR,,,,,,8.1,35.3,0.28,0.1,1.9,1.6,11.9,0.09,7.5
Jaylen Waddle,WR,MIA,TEN,,,,,,0.3,1.4,0.01,,5.1,3.2,40,0.26,7.4
Brandin Cooks,WR,DAL,NYG,,,,,,0.1,0.5,,,5.2,3.4,38.1,0.29,7.3
Tutu Atwell,WR,LA,CHI,,,,,,0.3,1.7,0.01,,5.9,3.3,39.5,0.25,7.3
Javonte Williams,RB,DEN,NYJ,,,,,,7.7,28.8,0.21,0.1,3.6,2.4,15,0.11,7.3
Tre Tucker,WR,LV,CLE,,,,,,0.4,2.7,0.02,,5.4,3.3,36.5,0.26,7.3
Tyjae Spears,RB,TEN,MIA,,,,,,7.3,30.2,0.19,0.1,3.7,2.6,15.2,0.09,7.3
Ray-Ray McCloud,WR,ATL,NO,,,,,,0.6,3.3,0.02,,5.8,3.7,35.3,0.22,7.2
Sam LaPorta,TE,DET,SEA,,,,,,,,,,,3.4,36.7,0.3,7.2
Gabe Davis,WR,JAX,HOU,,,,,,,,,,4.8,2.8,42.4,0.24,7.1
Jordan Addison,WR,MIN,GB,,,,,,,0.5,,,5,3.1,39.1,0.24,7
DeAndre Hopkins,WR,TEN,MIA,,,,,,,,,,5.3,3.4,38,0.25,7
Cam Akers,RB,HOU,JAX,,,,,,9.8,39.1,0.29,0.1,1.1,0.9,6.5,0.05,6.9
Dalton Schultz,TE,HOU,JAX,,,,,,,,,,4.6,3.4,32.9,0.3,6.8
Andrei Iosivas,WR,CIN,CAR,,,,,,,,,,4.4,3,34.6,0.3,6.8
Quentin Johnston,WR,LAC,KC,,,,,,,,,,5.5,2.9,37.9,0.26,6.8
Roschon Johnson,RB,CHI,LA,,,,,,5.2,21.5,0.23,0.1,2.6,1.9,14,0.15,6.6
Xavier Legette,WR,CAR,CIN,,,,,,,,,,5.4,3,36,0.25,6.6
Pat Freiermuth,TE,PIT,IND,,,,,,,,,,5.6,3.6,32.4,0.24,6.5
Allen Lazard,WR,NYJ,DEN,,,,,,,,,,4.9,2.8,34,0.28,6.5
Miles Sanders,RB,CAR,CIN,,,,,,7.3,28.3,0.22,0.1,2.6,1.9,10.5,0.08,6.4
Rashod Bateman,WR,BAL,BUF,,,,,,0.1,1.2,0.01,,4.5,2.9,31.6,0.26,6.4
Zach Charbonnet,RB,SEA,DET,,,,,,5.7,21.9,0.26,,1.9,1.5,10.5,0.13,6.3
Josh Downs,WR,IND,PIT,,,,,,,,,,4.8,3.1,35.2,0.19,6.2
Cole Kmet,TE,CHI,LA,,,,,,,,,,4.9,3.4,31.7,0.22,6.2
Jonathan Mingo,WR,CAR,CIN,,,,,,0.1,0.5,,,5.5,3.1,31.8,0.24,6.2
Christian Watson,WR,GB,MIN,,,,,,0.4,2.3,0.02,,3.9,2.4,31,0.24,6.1
Elijah Moore,WR,CLE,LV,,,,,,0.2,0.8,0.01,,5.5,3.1,32.2,0.2,6.1
Justice Hill,RB,BAL,BUF,,,,,,3.6,16.4,0.11,,3.4,2.6,17.8,0.12,6.1
Ezekiel Elliott,RB,DAL,NYG,,,,,,7.5,26,0.29,0.1,1.6,1.3,7.2,0.08,6
Zach Ertz,TE,WAS,ARI,,,,,,,,,,4.2,2.9,30.4,0.26,6
Mark Andrews,TE,BAL,BUF,,,,,,,,,,3.9,2.7,31.1,0.25,6
Jalen Tolbert,WR,DAL,NYG,,,,,,,,,,4.1,2.6,31.1,0.24,5.9
Tyler Conklin,TE,NYJ,DEN,,,,,,,,,,4.4,3.1,28.6,0.25,5.9
DeMario Douglas,WR,NE,SF,,,,,,0.2,0.9,0.01,,5,3,32,0.17,5.9
Mike Williams,WR,NYJ,DEN,,,,,,,,,,3.8,2.4,30.1,0.27,5.8
Samaje Perine,RB,KC,LAC,,,,,,5.1,20.3,0.12,0.1,3,2.3,15.2,0.09,5.8
Ty Chandler,RB,MIN,GB,,,,,,6.8,28.8,0.15,0.1,1.9,1.4,11,0.06,5.7
Hunter Henry,TE,NE,SF,,,,,,,,,,4.6,2.9,30.7,0.2,5.7
Emanuel Wilson,RB,GB,MIN,,,,,,6.7,26.7,0.12,0.1,2.4,1.8,12.4,0.05,5.6
Colby Parkinson,TE,LA,CHI,,,,,,,,,,4.7,3,28.3,0.21,5.6
Alexander Mattison,RB,LV,CLE,,,,,,6,23,0.21,0.1,2,1.4,10,0.09,5.6
Jalen Nailor,WR,MIN,GB,,,,,,,,,,3.8,2.2,31,0.22,5.5
Mike Gesicki,TE,CIN,CAR,,,,,,,,,,4,2.7,28.2,0.21,5.4
Noah Brown,WR,WAS,ARI,,,,,,,,,,3.8,2.3,30,0.21,5.4
Elijah Higgins,TE,ARI,WAS,,,,,,,,,,3,2.3,23.6,0.32,5.4
Isaiah Likely,TE,BAL,BUF,,,,,,,,,,3.4,2.4,28,0.23,5.4
Tommy Tremble,TE,CAR,CIN,,,,,,,,,,4.3,2.9,24.5,0.24,5.3
Josh Reynolds,WR,DEN,NYJ,,,,,,,,,,4.4,2.4,29.4,0.19,5.3
Keon Coleman,WR,BUF,BAL,,,,,,0.1,0.5,,,3.4,2.1,27.7,0.24,5.3
Tyler Boyd,WR,TEN,MIA,,,,,,0.1,0.6,,,4.5,2.8,26.8,0.19,5.3
Antonio Gibson,RB,NE,SF,,,,,,5.5,23.6,0.18,0.1,1.9,1.2,9.6,0.07,5.2
Joshua Palmer,WR,LAC,KC,,,,,,,,,,,2.5,30.8,0.14,5.2
Noah Fant,TE,SEA,DET,,,,,,,,,,3.7,2.7,25.7,0.21,5.2
Tyler Johnson,WR,LA,CHI,,,,,,,,,,4.5,2.7,26.8,0.18,5.1
Darius Slayton,WR,NYG,DAL,,,,,,,,,,4,2.3,28,0.18,5
Alec Pierce,WR,IND,PIT,,,,,,,,,,4,2,28.4,0.2,5
Jahan Dotson,WR,PHI,TB,,,,,,,,,,3.9,2.4,25.1,0.22,5
Gus Edwards,RB,LAC,KC,,,,,,8.8,32.8,0.17,0.1,1.1,0.7,4.4,0.02,5
Johnny Mundt,TE,MIN,GB,,,,,,,,,,4.1,2.8,25.3,0.16,4.9
Dontayvion Wicks,WR,GB,MIN,,,,,,,,,,3.3,2.1,27.3,0.18,4.9
Cade Otton,TE,TB,PHI,,,,,,,,,,3.6,2.5,24.3,0.21,4.9
Tyler Allgeier,RB,ATL,NO,,,,,,6.9,29.7,0.23,,0.4,0.3,2,0.02,4.8
Jordan Whittington,WR,LA,CHI,,,,,,,,,,3.9,2.3,24.9,0.19,4.8
Luke McCaffrey,WR,WAS,ARI,,,,,,,,,,3.2,2.2,23.1,0.23,4.8
D'Onta Foreman,RB,CLE,LV,,,,,,5.8,23,0.24,,0.9,0.6,4.4,0.05,4.8
Tucker Kraft,TE,GB,MIN,,,,,,,,,,3.1,2.2,22,0.23,4.7
Lil'Jordan Humphrey,WR,DEN,NYJ,,,,,,,,,,3.7,2.6,24.7,0.15,4.7
Jaleel McLaughlin,RB,DEN,NYJ,,,,,,5.5,21,0.12,0.1,2.2,1.5,10,0.06,4.7
Jordan Akins,TE,CLE,LV,,,,,,,,,,3.6,2.3,20.8,0.24,4.7
Curtis Samuel,WR,BUF,BAL,,,,,,0.3,1.6,0.01,,3.5,2.3,22.3,0.18,4.7
Mack Hollins,WR,BUF,BAL,,,,,,,,,,3.2,2,26.1,0.14,4.5
Cordarrelle Patterson,RB,PIT,IND,,,,,,2.5,10.6,0.19,,1.4,1.1,7.9,0.14,4.4
Tyrone Tracy Jr.,RB,NYG,DAL,,,,,,4,15.1,0.15,,1.5,1.1,10.7,0.05,4.3
Taysom Hill,TE,NO,ATL,,,,,,2.6,11.9,0.16,,1.6,1,9.1,0.12,4.3
Jamaal Williams,RB,NO,ATL,,,,,,4.2,15.9,0.19,,1.1,0.8,6.2,0.07,4.2
Trey Palmer,WR,TB,PHI,,,,,,,,,,2.7,1.6,19.8,0.23,4.2
Tyler Badie,RB,DEN,NYJ,,,,,,5.9,25.6,0.1,,1,0.8,4.9,0.02,4.2
Ja'Lynn Polk,WR,NE,SF,,,,,,,,,,4.3,2.3,22.5,0.14,4.2
Hayden Hurst,TE,LAC,KC,,,,,,,,,,3.7,2.2,23.5,0.13,4.2
Ty Johnson,RB,BUF,BAL,,,,,,1.7,6.7,0.03,,2.6,2.1,17.9,0.08,4.2
Calvin Austin III,WR,PIT,IND,,,,,,0.2,1.1,0.01,,3.3,2,22.3,0.12,4.1
Parris Campbell,WR,PHI,TB,,,,,,,,,,3,1.9,19.9,0.2,4.1
K.J. Osborn,WR,NE,SF,,,,,,,,,,4.3,2.2,22.2,0.11,4
Chig Okonkwo,TE,TEN,MIA,,,,,,,,,,3.1,2,17.2,0.21,4
Johnny Wilson,WR,PHI,TB,,,,,,,,,,2.5,1.5,21,0.15,3.8
Jeremy McNichols,RB,WAS,ARI,,,,,,4.8,18.4,0.11,,1.2,0.9,6.1,0.04,3.8
Kyle Juszczyk,FB,SF,NE,,,,,,0.5,2.1,0.02,,2.3,1.8,15.6,0.16,3.8
Theo Johnson,TE,NYG,DAL,,,,,,,,,,3,1.9,18,0.15,3.7
Luke Musgrave,TE,GB,MIN,,,,,,,,,,2.5,1.7,18,0.17,3.7
Robert Woods,WR,HOU,JAX,,,,,,,,,,2.5,1.6,17.9,0.19,3.7
Greg Dulcich,TE,DEN,NYJ,,,,,,,,,,3,1.9,18.1,0.15,3.7
Tim Patrick,WR,DET,SEA,,,,,,,,,,2.3,1.6,19.6,0.15,3.7
Van Jefferson,WR,PIT,IND,,,,,,,,,,3,1.8,19.8,0.12,3.6
Tank Bigsby,RB,JAX,HOU,,,,,,4.9,20.9,0.17,,0.5,0.3,2.2,0.02,3.6
JuJu Smith-Schuster,WR,KC,LAC,,,,,,,,,,2.7,1.8,17.8,0.15,3.6
Ray Davis,RB,BUF,BAL,,,,,,5.3,21.2,0.12,,0.7,0.5,4.2,0.02,3.6
Nelson Agholor,WR,BAL,BUF,,,,,,,,,,2,1.4,18.8,0.16,3.5
Raheem Mostert,RB,MIA,TEN,,,,,,3.8,15.9,0.19,,,0.4,3.3,0.04,3.5
Justin Watson,WR,KC,LAC,,,,,,,,,,2.6,1.6,17,0.15,3.4
Jonnu Smith,TE,MIA,TEN,,,,,,,,,,2.2,1.7,16,0.15,3.4
KaVontae Turpin,WR,DAL,NYG,,,,,,1.1,5.9,0.06,,2.4,1.6,9.9,0.1,3.3
Kylen Granson,TE,IND,PIT,,,,,,,,,,2.5,1.7,16.6,0.13,3.3
Brenton Strange,TE,JAX,HOU,,,,,,,,,,1.2,0.8,8.4,0.34,3.3
Trey Benson,RB,ARI,WAS,,,,,,3.6,13.6,0.15,,0.7,0.6,4.2,0.05,3.3
Dare Ogunbowale,RB,HOU,JAX,,,,,,1.5,5.6,0.08,,1.3,1.1,8.7,0.13,3.2
DeAndre Carter,WR,CHI,LA,,,,,,,,,,,1.5,18.2,0.11,3.2
Isaac Guerendo,RB,SF,NE,,,,,,4.9,19.7,0.13,,0.3,0.2,1.6,0.01,3.1
Xavier Hutchinson,WR,HOU,JAX,,,,,,,,,,1.5,1,12,0.21,3
Mason Tipton,WR,NO,ATL,,,,,,,,,,2.3,1.8,10.7,0.17,3
Khalil Herbert,RB,CHI,LA,,,,,,3.8,14,0.15,,0.5,0.4,3,0.03,3
Austin Hooper,TE,NE,SF,,,,,,,,,,2.9,1.7,13.4,0.13,3
Brandon Powell,WR,MIN,GB,,,,,,0.2,0.7,,,,1.6,15.6,0.08,2.9
Dyami Brown,WR,WAS,ARI,,,,,,,,,,1.7,1.1,13,0.18,2.9
Josh Whyle,TE,TEN,MIA,,,,,,,,,,3.1,2,11.2,0.13,2.9
Kalif Raymond,WR,DET,SEA,,,,,,0.2,1.3,0.02,,1.4,0.9,11.5,0.17,2.9
Jalen Brooks,WR,DAL,NYG,,,,,,,,,,2.3,1.7,9.5,0.17,2.8
Juwan Johnson,TE,NO,ATL,,,,,,,,,,1.9,1.2,13.2,0.14,2.8
Tyquan Thornton,WR,NE,SF,,,,,,,,,,2.6,1.2,16.2,0.1,2.8
DJ Turner,WR,LV,CLE,,,,,,0.6,2.5,0.03,,1.8,1.1,11.2,0.12,2.8
Dawson Knox,TE,BUF,BAL,,,,,,,,,,1.9,1.3,13.5,0.14,2.8
Foster Moreau,TE,NO,ATL,,,,,,,,,,1.7,1.1,11.8,0.16,2.7
Ja'Tavion Sanders,TE,CAR,CIN,,,,,,,,,,2.1,1.3,12.5,0.13,2.7
Erick All Jr.,TE,CIN,CAR,,,,,,,,,,1.4,1.2,11,0.15,2.6
Ameer Abdullah,RB,LV,CLE,,,,,,1.1,4.6,0.03,,2,1.4,9.2,0.05,2.6
Noah Gray,TE,KC,LAC,,,,,,0,0.6,0.01,,1.7,1.2,11.7,0.11,2.6
Will Dissly,TE,LAC,KC,,,,,,,,,,2.2,1.4,12.9,0.1,2.6
Marquez Valdes-Scantling,WR,BUF,BAL,,,,,,,,,,1.9,1,14.2,0.12,2.6
Gerald Everett,TE,CHI,LA,,,,,,,,,,1.9,1.3,12,0.11,2.5
Braxton Berrios,WR,MIA,TEN,,,,,,,,,,1.8,1.2,13.6,0.09,2.5
Treylon Burks,WR,TEN,MIA,,,,,,0.2,0.7,0.01,,1.8,1,13.1,0.1,2.5
Parker Washington,WR,JAX,HOU,,,,,,,,,,1.8,1.1,12.2,0.1,2.4
Brock Wright,TE,DET,SEA,,,,,,,,,,1,0.7,6.5,0.23,2.4
Adonai Mitchell,WR,IND,PIT,,,,,,,,,,1.6,0.9,14,0.08,2.3
Josh Oliver,TE,MIN,GB,,,,,,,,,,1.6,1.1,11.8,0.09,2.3
Jeremy Ruckert,TE,NYJ,DEN,,,,,,,,,,1.6,1.1,10.1,0.12,2.3
Ronnie Bell,WR,SF,NE,,,,,,0.1,0.3,,,,1,12.7,0.08,2.3
Deuce Vaughn,RB,DAL,NYG,,,,,,2.8,10.1,0.06,,0.6,0.5,4,0.03,2.2
Kenneth Gainwell,RB,PHI,TB,,,,,,1.1,4.1,0.05,,1.1,0.8,6.1,0.08,2.2
David Moore,WR,CAR,CIN,,,,,,,,,,1.4,0.7,9.7,0.14,2.2
Emari Demercado,RB,ARI,WAS,,,,,,1.6,7,0.08,,0.6,0.5,4.4,0.05,2.2
Alec Ingold,FB,MIA,TEN,,,,,,2.6,7.7,0.05,,1,0.8,5.2,0.03,2.2
Cade Stover,TE,HOU,JAX,,,,,,,,,,1.2,0.9,8.5,0.13,2.1
Cedric Tillman,WR,CLE,LV,,,,,,,,,,1.7,0.9,10.5,0.1,2.1
Jeff Wilson Jr.,RB,MIA,TEN,,,,,,2.6,11.7,0.07,,0.5,0.4,2.6,0.01,2.1
Mo Alie-Cox,TE,IND,PIT,,,,,,,,,,1.2,0.8,8.9,0.12,2
John Metchie III,WR,HOU,JAX,,,,,,,,,,,0.9,10.9,0.08,2
Tip Reiman,TE,ARI,WAS,,,,,,,,,,1.2,0.9,7.9,0.12,2
Cedrick Wilson Jr.,WR,NO,ATL,,,,,,,,,,1.2,0.7,8.3,0.12,1.9
Marvin Mims Jr.,WR,DEN,NYJ,,,,,,0.3,1.5,0.02,,1.3,0.7,10,0.03,1.8
Devaughn Vele,WR,DEN,NYJ,,,,,,,,,,,0.8,8.3,0.09,1.8
Troy Franklin,WR,DEN,NYJ,,,,,,,,,,,0.8,10.1,0.07,1.8
Derius Davis,WR,LAC,KC,,,,,,1,5.2,0.03,,1.3,0.7,6,0.03,1.8
Jalin Hyatt,WR,NYG,DAL,,,,,,,,,,,0.6,9.6,0.08,1.7
Ashton Dulin,WR,IND,PIT,,,,,,,,,,,0.6,9.4,0.07,1.7
Jake Bobo,WR,SEA,DET,,,,,,0.1,0.5,0.01,,0.9,0.6,7.7,0.09,1.7
Luke Schoonmaker,TE,DAL,NYG,,,,,,,,,,1.2,0.8,7,0.09,1.6
Hunter Luepke,RB,DAL,NYG,,,,,,,,,,,1,6.4,0.07,1.6
Trey Sermon,RB,IND,PIT,,,,,,1.8,6.9,0.07,,0.5,0.3,2.3,0.02,1.6
Ronnie Rivers,RB,LA,CHI,,,,,,1.8,7.2,0.08,,0.3,0.2,1.4,0.02,1.6
Grant Calcaterra,TE,PHI,TB,,,,,,,,,,1.1,0.8,7.7,0.08,1.6
Drew Sample,TE,CIN,CAR,,,,,,,,,,1.1,0.8,6.5,0.1,1.6
Raheem Blackshear,RB,CAR,CIN,,,,,,3.1,11.3,0.08,,,,,,1.6
Jermaine Burton,WR,CIN,CAR,,,,,,,,,,0.7,0.4,6.4,0.13,1.6
Olamide Zaccheaus,WR,WAS,ARI,,,,,,,,,,0.9,0.6,6,0.11,1.6
Jaylen Wright,RB,MIA,TEN,,,,,,1.7,6.8,0.08,,0.2,0.2,1.7,0.02,1.6
Scotty Miller,WR,PIT,IND,,,,,,,,,,0.9,0.5,7.3,0.09,1.5
Darnell Washington,TE,PIT,IND,,,,,,,,,,1,0.7,6,0.09,1.5
Adam Trautman,TE,DEN,NYJ,,,,,,,,,,1.2,0.8,6.6,0.08,1.5
Ben Sinnott,TE,WAS,ARI,,,,,,,,,,0.8,0.6,5.8,0.1,1.5
Eric Saubert,TE,SF,NE,,,,,,,,,,0.6,0.4,3.7,0.16,1.5
Simi Fehoko,WR,LAC,KC,,,,,,,,,,0.6,0.4,4.8,0.13,1.5
Durham Smythe,TE,MIA,TEN,,,,,,,,,,1,0.7,6,0.09,1.5
Pharaoh Brown,TE,SEA,DET,,,,,,,,,,1,0.7,6.9,0.08,1.5
Daniel Bellinger,TE,NYG,DAL,,,,,,,,,,1,0.6,6.3,0.08,1.4
